=====2019/8/26 16:53:36=====
DMT02----Error----03:30:17--DesktopImg----2019/8/26 15:30:17
DMT02----Error----03:30:17--DesktopImg----2019/8/26 15:30:17
DMT02----Error----03:30:17--DesktopImg----2019/8/26 15:30:17
DMT02----Error----03:30:17--DesktopImg----2019/8/26 15:30:17
DMT02----Error----03:30:17--DesktopImg----2019/8/26 15:30:17
DMT02----Error----03:30:17--DesktopImg----2019/8/26 15:30:17
DMT02----Error----03:30:17--DesktopImg----2019/8/26 15:30:17
DMT02----Error----03:30:17--DesktopImg----2019/8/26 15:30:17
DMT02----Error----03:30:17--DesktopImg----2019/8/26 15:30:18
DMT02----Error----03:30:18--DesktopImg----2019/8/26 15:30:18
DMT02----Error----03:30:18--DesktopImg----2019/8/26 15:30:18
DMT02----Error----03:30:18--DesktopImg----2019/8/26 15:30:18
DMT02----Error----03:30:18--DesktopImg----2019/8/26 15:30:18
DMT02----Error----03:30:18--DesktopImg----2019/8/26 15:30:18
DMT02----Error----03:30:18--DesktopImg----2019/8/26 15:30:18
DMT02----Error----03:30:18--DesktopImg----2019/8/26 15:30:18
DMT02----Error----System.Net.Sockets.SocketException (0x80004005): 远程主机强迫关闭了一个现有的连接。
   在 System.Net.Sockets.Socket.EndReceive(IAsyncResult asyncResult)
   在 TcpServerRoot.TcpClient.ReceiveCallBack(IAsyncResult ar) 位置 C:\Users\admin\source\repos\RemoteControl\TcpSocketRoot\TcpServerRoot\TcpClient.cs:行号 100----2019/8/26 15:30:52
DMT02----Error----断开连接----2019/8/26 15:30:52
DMT02----Error----连接成功127.0.0.1:50446----2019/8/26 15:32:06
DMT02----Error----03:32:06--ComputerName----2019/8/26 15:32:06
DMT02----Error----03:32:08--DesktopImg----2019/8/26 15:32:08
DMT02----Error----03:32:08--DesktopImg----2019/8/26 15:32:09
DMT02----Error----03:32:09--DesktopImg----2019/8/26 15:32:09
DMT02----Error----03:32:09--DesktopImg----2019/8/26 15:32:09
DMT02----Error----03:32:09--DesktopImg----2019/8/26 15:32:09
DMT02----Error----03:32:09--DesktopImg----2019/8/26 15:32:09
DMT02----Error----03:32:09--DesktopImg----2019/8/26 15:32:09
DMT02----Error----03:32:09--DesktopImg----2019/8/26 15:32:09
DMT02----Error----03:32:09--DesktopImg----2019/8/26 15:32:09
DMT02----Error----03:32:09--DesktopImg----2019/8/26 15:32:09
DMT02----Error----03:32:09--DesktopImg----2019/8/26 15:32:09
DMT02----Error----03:32:09--DesktopImg----2019/8/26 15:32:09
DMT02----Error----03:32:10--DesktopImg----2019/8/26 15:32:10
DMT02----Error----03:32:10--DesktopImg----2019/8/26 15:32:10
DMT02----Error----03:32:10--DesktopImg----2019/8/26 15:32:10
DMT02----Error----03:32:10--DesktopImg----2019/8/26 15:32:10
DMT02----Error----03:32:10--DesktopImg----2019/8/26 15:32:10
DMT02----Error----03:32:10--DesktopImg----2019/8/26 15:32:10
DMT02----Error----03:32:10--DesktopImg----2019/8/26 15:32:10
DMT02----Error----03:32:10--DesktopImg----2019/8/26 15:32:10
DMT02----Error----03:32:10--DesktopImg----2019/8/26 15:32:10
DMT02----Error----03:32:10--DesktopImg----2019/8/26 15:32:11
DMT02----Error----03:32:11--DesktopImg----2019/8/26 15:32:11
DMT02----Error----03:32:11--DesktopImg----2019/8/26 15:32:11
DMT02----Error----03:32:11--DesktopImg----2019/8/26 15:32:11
DMT02----Error----03:32:11--DesktopImg----2019/8/26 15:32:11
DMT02----Error----03:32:11--DesktopImg----2019/8/26 15:32:11
DMT02----Error----03:32:11--DesktopImg----2019/8/26 15:32:11
